"","leg_id","full_name","first_name","middle_name","last_name","suffixes","nickname","active","state.x","chamber.x","district.x","party.x","photo_url","created_at","updated_at","type","term","committee_id","committee","subcommittee","start_date","end_date"
"62","TXL000404","Ron Reynolds","Ron","","Reynolds","","",TRUE,"tx","lower",27,"Democratic","http://www.house.state.tx.us/photos/members/2040.jpg","2011-01-14 22:24:08.418000","2017-06-01 10:38:26.352000","member",85,"","","",NA,""
"63","TXL000410","James White","James","","White","","",TRUE,"tx","lower",19,"Republican","http://www.house.state.tx.us/photos/members/2030.jpg","2011-01-14 22:24:08.419000","2017-06-01 10:38:26.793000","member",85,"","","",NA,""
"64","TXL000411","Paul Workman","Paul","","Workman","","",TRUE,"tx","lower",47,"Republican","http://www.house.state.tx.us/photos/members/2075.jpg","2011-01-14 22:24:08.292000","2017-06-01 10:38:26.614000","member",85,"","","",NA,""
"65","TXL000412","William Zedler","Bill","","Zedler","","",TRUE,"tx","lower",96,"Republican","http://www.house.state.tx.us/photos/members/5150.jpg","2011-01-14 22:24:08.293000","2017-06-01 10:38:25.984000","member",85,"","","",NA,""
"66","TXL000415","Raney, John","John","","Raney","","",TRUE,"tx","lower",14,"Republican","http://www.house.state.tx.us/photos/members/2315.jpg","2012-01-25 00:54:58.498000","2017-06-01 10:38:26.105000","member",85,"","","",NA,""
"67","TXL000424","Ashby, Trent","Trent","","Ashby","","",TRUE,"tx","lower",57,"Republican","http://www.house.state.tx.us/photos/members/2330.jpg","2013-01-09 00:29:35.404000","2017-06-01 10:38:26.827000","member",85,"","","",NA,""
"68","TXL000425","Bell, Cecil","Cecil","","Bell","","",TRUE,"tx","lower",3,"Republican","http://www.house.state.tx.us/photos/members/2335.jpg","2013-01-09 00:29:35.419000","2017-06-01 10:38:26.329000","member",85,"","","",NA,""
"69","TXL000426","Bonnen, Greg","Greg","","Bonnen","","",TRUE,"tx","lower",24,"Republican","http://www.house.state.tx.us/photos/members/2875.jpg","2013-01-09 00:29:35.442000","2017-06-01 10:38:26.074000","member",85,"","","",NA,""
"70","TXL000428","Canales, Terry","Terry","","Canales","","",TRUE,"tx","lower",40,"Democratic","http://www.house.state.tx.us/photos/members/2340.jpg","2013-01-09 00:29:35.506000","2017-06-01 10:38:25.838000","member",85,"","","",NA,""
"71","TXL000429","Capriglione, Giovanni","Giovanni","","Capriglione","","",TRUE,"tx","lower",98,"Republican","http://www.house.state.tx.us/photos/members/2345.jpg","2013-01-09 00:29:35.513000","2017-06-01 10:38:26.731000","member",85,"","","",NA,""
"72","TXL000430","Clardy, Travis","Travis","","Clardy","","",TRUE,"tx","lower",11,"Republican","http://www.house.state.tx.us/photos/members/2355.jpg","2013-01-09 00:29:35.529000","2017-06-01 10:38:26.567000","member",85,"","","",NA,""
"73","TXL000431","Collier, Nicole","Nicole","","Collier","","",TRUE,"tx","lower",95,"Democratic","http://www.house.state.tx.us/photos/members/2360.jpg","2013-01-09 00:29:35.544000","2017-06-01 10:38:26.574000","member",85,"","","",NA,""
"74","TXL000433","Dale, Tony","Tony","","Dale","","",TRUE,"tx","lower",136,"Republican","http://www.house.state.tx.us/photos/members/2370.jpg","2013-01-09 00:29:35.606000","2017-06-01 10:38:26.346000","member",85,"","","",NA,""
